                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4938,                 2.5648,                 2.6577,                  1.579,                0.29787,                0.18849,                0.10059,                0.06988,                0.27343,                 0.1397,                0.05855,                0.02811,                 1.1626,                 1.1606,                 2.1383,                 1.1989,               0.070286,              0.0033016,              0.0033016
                      1,                 1.0931,                 1.6841,                 1.6901,                 1.2558,                0.54925,                0.19736,                0.14349,                0.09077,                 0.5776,                0.13232,                0.10683,                0.05101,                 1.2335,                 1.1115,                  2.779,                   1.18,               0.040067,               0.006416,               0.006416
                      2,                 1.1555,                 1.6902,                 1.7113,                 1.2868,                0.38635,                0.26907,                0.17116,                0.11682,                0.36591,                0.22089,                0.12287,                   0.07,                 1.3439,                 1.0626,                 2.0789,                 1.2951,              0.0096278,              0.0093103,              0.0093103
                      3,                 1.2095,                 1.7552,                 1.6759,                 1.3161,                0.45358,                0.16547,                0.12432,                0.08148,                0.34542,                0.21831,                0.10253,                 0.0451,                 1.4449,                 1.1847,                 3.2741,                 1.4362,                0.00901,                0.00901,                0.00901
                      4,                 1.2334,                 1.7286,                 1.6828,                 1.3266,                 0.3757,                0.16725,                0.11228,                0.06823,                0.31668,                0.12127,                0.05459,                0.01894,                 1.5174,                 1.2207,                 2.7645,                  1.456,                0.00901,                0.00901,                0.00901
                      5,                 1.2216,                 1.7555,                 1.6225,                 1.3239,                0.51503,                0.21301,                0.19562,                0.11296,                0.44552,                 0.1691,                0.13409,                0.07377,                 1.3749,                 1.0445,                 2.1674,                 1.3292,                0.00868,                0.00868,                0.00868
                      6,                  1.175,                 1.6829,                 1.5584,                 1.3053,                0.43811,                0.23337,                0.20231,                 0.1305,                0.38949,                0.16798,                0.12916,                0.07451,                  1.338,                 1.0593,                 2.0153,                  1.314,                0.00835,                0.00835,                0.00835
                      7,                 1.1238,                 1.6584,                 1.4923,                 1.2796,                0.68432,                 0.0763,                0.07583,                   0.05,                0.66572,                0.05357,                0.04667,                0.02191,                 1.5324,                 1.1892,                 2.4001,                 1.4427,                0.00802,                0.00802,                0.00802
                      8,                  1.113,                 1.6489,                 1.4509,                 1.2691,                0.52879,                0.26494,                0.23216,                0.15066,                0.45675,                0.20125,                0.15368,                0.08054,                 1.2311,                0.99459,                 1.5788,                 1.2369,                0.00769,                0.00769,                0.00769
                      9,                 1.1027,                 1.6445,                 1.4372,                 1.2638,                0.54807,                0.29388,                 0.2791,                0.18369,                0.45365,                0.25471,                0.20315,                0.10264,                 1.2076,                0.95953,                 1.5532,                 1.2346,                0.00736,                0.00736,                0.00736
                     10,                 1.0375,                 1.6049,                  1.344,                 1.2323,                0.53341,                0.24343,                0.24106,                0.17149,                0.57528,                0.20454,                0.19621,                0.09883,                 1.1938,                0.98383,                 1.6294,                 1.2304,                0.00703,                0.00703,                0.00703
                     11,                 1.0416,                 1.5832,                 1.3154,                 1.2325,                0.59179,                0.27054,                0.27055,                0.18425,                 0.5426,                0.21885,                0.20343,                 0.1068,                 1.1859,                0.95048,                 1.6918,                 1.2226,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.0286,                 1.5418,                 1.3196,                 1.2274,                 0.5215,                0.33424,                0.29814,                0.20785,                0.48459,                0.26228,                0.22164,                 0.1273,                 1.1171,                0.98648,                 1.4066,                 1.1788,                0.00637,                0.00637,                0.00637
                     13,                0.99624,                 1.4921,                 1.3057,                 1.2082,                0.55582,                0.33019,                0.30517,                0.22184,                0.64219,                0.25053,                0.24853,                0.13589,                 1.0473,                0.88243,                 1.3089,                 1.0999,                0.00604,                0.00604,                0.00604
                     14,                0.98479,                 1.4731,                 1.2521,                 1.1916,                0.60136,                   0.33,                0.32325,                0.22957,                0.56657,                0.28897,                0.25947,                0.14852,                 1.0646,                0.91915,                 1.3505,                 1.1373,                0.00571,                0.00571,                0.00571
                     15,                0.94176,                 1.4218,                 1.1848,                 1.1664,                0.57223,                0.34389,                0.35832,                0.24158,                0.59636,                0.27046,                0.27344,                0.14308,                 1.0463,                 0.8884,                 1.4077,                 1.1467,                0.00538,                0.00538,                0.00538
